created_at	text	retweet_count	source	user_created_at	user_followers_count	user_friends_count	user_location	user_name
2020-03-14	#noticiastvn disney suspende produccion peliculas coronavirus informacion	3	TweetDeck	2011-05-16 14:51:19	801781	1610	Panamá	TVN Noticias
2020-03-14	#covid19 lleva casos panama autoridades suspenden vuelos europa #noticiastvn	10	Twitter Media Studio	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	mayores cines norteamerica reducen capacidad coronavirus #noticiastvn	2	Twitter Media Studio	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	@tvnnoticias hospital wuchang fangcheng wuhan china celebraron dieron alta ultimo paciente #covid19 #noticias	264	Twitter for Android	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	@parquesummit cierra puertas publico cancelan todas actividades nuevo aviso debido situa	11	Twitter for Android	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	panamen toman medidas prevencion covid #noticiastvn	3	Twitter Media Studio	2011-05-16 14:51:19	801790	1610	Panamá	TVN Noticias
2020-03-14	#covid19 lleva casos panama autoridades suspenden vuelos europa #noticiastvn	17	Twitter Media Studio	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	mensaje pareja medicos panamen @drpichel esposa hellen aun permanecen bordo crucero	16	Twitter for Android	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	asi desarrollo proceso sanitizacion distintas areas @tocumenaero toda noche ayer	19	Twitter for Android	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	mensaje epidemiologo xavier saez llorens traves redes sociales man ana acompan ara #radartvn	27	Twitter for Android	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	ministerio salud colombia anuncia nuevos casos #covid19 mismos ubican regio	4	Twitter for Android	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	espan registra 500 nuevos casos coronavirus supera 700 #noticiastv #covid19	5	Buffer	2011-05-16 14:51:19	801781	1610	Panamá	TVN Noticias
2020-03-14	prevenir #covid19 tarea @senadispma #noticiastvn	6	Twitter Media Studio	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	@minsapma llama si viajado contacto alguna persona presente sintomas #covid19 tambien si	243	Twitter Web App	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	@elmetrodepanama disposicion usuarios linea linea dispensadores gel alcoholado	7	Twitter Web App	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	exdirigente espan ol otan javier solana infectado coronavirus #noticiastvn	2	Buffer	2011-05-16 14:51:19	801781	1610	Panamá	TVN Noticias
2020-03-14	china levanta confinamiento partes provincia hubei #noticiastvn #covid19	1	Buffer	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	gobernador nueva york confirmo primera muerte #covid19 trata mujer	3	Twitter Web App	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	#noticiastvn necesitas saber coronavirus covid segun expertos recuerda peor epidemia	5	Twitter Ads	2011-05-16 14:51:19	801784	1610	Panamá	TVN Noticias
2020-03-14	italia pasa momento delicado debido #covid19 embargo varios lugares personas dan mejor	49	Twitter Media Studio	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	#noticiastvn coronavirus pandemia puesto prueba autoridades controles sistemas salu	3	Twitter Ads	2011-05-16 14:51:19	801781	1610	Panamá	TVN Noticias
2020-03-14	indica @minsapma recorrido nocturno garantizar poblacion cumpla decreto prohibe	27	Twitter Web App	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	indica @minsapma estan haciendo recorridos nivel nacional fin garantizar seguridad sanitaria	15	Twitter Web App	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	compan ia seguros anuncia mantendra cobertura tratamiento covid #noticiastvn #covid19	8	Buffer	2011-05-16 14:51:19	801795	1610	Panamá	TVN Noticias
2020-03-14	artesano mexicano convierte nuevo coronavirus pin ata #noticiastvn #covid19	4	Buffer	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	#noticiastvn necesitas saber coronavirus covid segun expertos recuerda peor epidemia	8	Twitter Ads	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	manifestacion chalecos amarillos paris pese nuevo coronavirus #noticiastvn #covid19	3	Buffer	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	colombia cierra fronteras venezuela restringe accesos europa asia pandemia #noticiastvn #covid19	4	Buffer	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	pocion base orina vaca receta grupo hindu coronavirus india #noticiastvn	5	Buffer	2011-05-16 14:51:19	801781	1610	Panamá	TVN Noticias
2020-03-14	personal salud servicio urgencias policlinica manuel maria valdes san miguelito dedicados	194	Twitter Web App	2011-05-16 14:51:19	801780	1610	Panamá	TVN Noticias
2020-03-14	ministerio salud dara detalles casos #covid19 registrados panama tarde 00	8	Twitter Web App	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	#noticiastvn coronavirus pandemia puesto prueba autoridades controles sistemas salu	1	Twitter Ads	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	aerolinea @copaairlines indica pasajeros viajando hacia venezuela partir hoy marzo	13	Twitter for Android	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	comunicado @masmovilpanama referente acciones preventivas tomadas #covid19 #noticiastvn	0	Twitter Web App	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	propietarios bares restaurantes discotecas estan solicitando gobierno posponga cobro impu	110	Twitter Web App	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	manifiestan ventas disminuido asi pedidos interior pais tambien	4	Twitter Web App	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	#noticiastvn necesitas saber coronavirus covid segun expertos recuerda peor epidemia	5	Twitter Ads	2011-05-16 14:51:19	801780	1610	Panamá	TVN Noticias
2020-03-14	trafico vehicular via interamericana area coronado direccion hacia provincias centrales estima	25	Twitter Web App	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	duen restaurantes bares piden gobierno posponga pago alquileres servicios #noticiastvn #covid19	14	Buffer	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	trump hace prueba coronavirus espera resultados #noticiastvn	5	Buffer	2011-05-16 14:51:19	801780	1610	Panamá	TVN Noticias
2020-03-14	dado funcionarios mejores tecnicas capacitacion manejo viajeros	0	Twitter Web App	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	medidas prevencion evitemos #covid19 propague mas hermoso panama mitigacion	124	Twitter Media Studio	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	espan lucha todas adversidades madrid asi escucha animo personas dan sal	18	Twitter for Android	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	auxiliar carmen parte personal salud servicio policlinica dr carlos n brin da consejos	11	Twitter for Android	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	#noticiastvn coronavirus pandemia puesto prueba autoridades controles sistemas salu	2	Twitter Ads	2011-05-16 14:51:19	801780	1610	Panamá	TVN Noticias
2020-03-14	doctor daniel pichel doctora hellen mantenido principalmente cabina barco #noticiastvn	3	Twitter for Android	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	presidente laurentino cortizo anuncia suspende entrada vuelos procedentes europa asia panama	15	Twitter for Android	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	embajada espan panama detallo suspension vuelos empezara partir medianoche podra ser	9	Twitter for Android	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	labor prevencion mitigacion personal salud tambien hace llamado conciencia pob	109	Twitter Web App	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	inicia conferencia prensa ministerio salud brindaran mayores detalles casos registrad	3	Twitter Web App	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	#ultimahora esposa presidente espan ol pedro sanchez da positivo coronavirus oficial detalles	20	TweetDeck	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	red servicios realizacion pruebas laboratorio #covid19 funcionaran hospital san	39	Twitter Web App	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	primer pais region toma tipo medidas respecto dar conferencia prensa tra	2	Twitter Ads	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	arma mas poderosa #covid19 medidas higiene viceministro luis francisco sucre #noticiastvn #covid19	1	Twitter Web App	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	trabajara manera coordinada efectiva ver equipamiento recurso humano	0	Twitter Web App	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	necesitamos toda poblacion siga decretos normas reglamentos leyes ministerio salud indiq	0	Twitter Web App	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	exito depende lucha global infeccion agobia paises mundo requiere	3	Twitter Web App	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	poblacion joven debe tomar medidas necesarias ponga peligro seres queridos director	21	Twitter Web App	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	necesitamos toda poblacion acate decretos leyes reglamentos normativas ministerio salud	3	Twitter Ads	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	ustedes podemos ganar batalla necesitamos poblacion asuma responsabilidad corresponde	10	Twitter Web App	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
2020-03-14	pedimos racionalicen utilicen bien agua cada vez lavan manos viceministro salud	2	Twitter Web App	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	acatar instrucciones @minsapma evitar movilizacion hacia interior pais nec	35	Twitter Web App	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	ministerio salud tomara medidas necesarias garantizar salud demas provincias viceminis	6	Twitter Web App	2011-05-16 14:51:19	801785	1610	Panamá	TVN Noticias
2020-03-14	directora nacional salud nadja porcell informa dia hoy casos confirmados #covid19 pan	10	Twitter Web App	2011-05-16 14:51:19	801782	1610	Panamá	TVN Noticias
